date,event_id,tournament,category,surface,player1,player2,start_ts,odds_p1,odds_p2
2025-08-29,14518487,"UTR PTT Knoxville Men 03, Group A",UTR Men,Hard,Ashton Adesoro,Piotr Siekanowicz,1756471500,1.9,1.9
2025-08-29,14518492,"UTR PTT Knoxville Men 03, Group B",UTR Men,Hard,Jose Garcia,Daniil Kakhniuk,1756386900,1.9,1.9
2025-08-29,14518505,"UTR PTT Knoxville Men 03, Group B",UTR Men,Hard,Aleksandr Kalinin,Ethan Muza,1756404600,1.9,1.9
2025-08-29,14518493,"UTR PTT Knoxville Men 03, Group B",UTR Men,Hard,Aleksandr Kalinin,Daniil Kakhniuk,1756481400,1.9,1.9
2025-08-29,14518494,"UTR PTT Knoxville Men 03, Group B",UTR Men,Hard,Alex Alvarez Moreno,Ethan Muza,1756482300,1.9,1.9
2025-08-29,14527697,"UTR PTT Knoxville Men 03, Group C",UTR Men,Hard,Rahul Sachdev,Adrien Jonah Abarca,1756396500,1.9,1.9
2025-08-29,14518496,"UTR PTT Knoxville Men 03, Group C",UTR Men,Hard,Alex Kuperstein,Jan Kobierski,1756395000,1.9,1.9
2025-08-29,14527698,"UTR PTT Knoxville Men 03, Group C",UTR Men,Hard,Rahul Sachdev,Jan Kobierski,1756479600,1.9,1.9
2025-08-29,14518514,"UTR PTT Knoxville Men 03, Group C",UTR Men,Hard,William Freshwater,Adrien Jonah Abarca,1756473300,1.9,1.9
2025-08-29,14518501,"UTR PTT Knoxville Men 03, Group D",UTR Men,Hard,Miles Groom,Lucas Bitzer,1756384200,1.9,1.9
2025-08-29,14518489,"UTR PTT Knoxville Men 03, Group D",UTR Men,Hard,Boruch Skierkier,Woohyuk Chang,1756402800,1.9,1.9
2025-08-29,14518751,"UTR PTT Knoxville Men 03, Group D",UTR Men,Hard,Arjun Prabhakar,Woohyuk Chang,1756481400,1.9,1.9
2025-08-29,14518507,"UTR PTT Knoxville Men 03, Group D",UTR Men,Hard,Boruch Skierkier,Lucas Bitzer,1756485000,1.9,1.9
2025-08-29,14557483,"UTR PTT Olomouc Men 06, Group A",UTR Men,Hard,Leonardo Mileikowsky,Sebastian Chodura,1756374900,1.9,1.9
2025-08-29,14516739,"UTR PTT Olomouc Men 06, Group A",UTR Men,Hard,Daniel Siniakov,Adam Jurajda,1756381200,1.9,1.9
2025-08-29,14516773,"UTR PTT Olomouc Men 06, Group A",UTR Men,Hard,Daniel Siniakov,Robert Rumler,1756449000,1.9,1.9
2025-08-29,14516742,"UTR PTT Olomouc Men 06, Group A",UTR Men,Hard,Leonardo Mileikowsky,Robert Rumler,1756457100,1.9,1.9
2025-08-29,14557482,"UTR PTT Olomouc Men 06, Group A",UTR Men,Hard,Daniel Siniakov,Sebastian Chodura,1756454400,1.9,1.9
2025-08-29,14516772,"UTR PTT Olomouc Men 06, Group A",UTR Men,Hard,Elisha Thornton,Adam Jurajda,1756465200,1.9,1.9
2025-08-29,14516756,"UTR PTT Olomouc Men 06, Group B",UTR Men,Hard,Dominik Recek,Piotr Galus,1756380600,1.9,1.9
2025-08-29,14516761,"UTR PTT Olomouc Men 06, Group B",UTR Men,Hard,Vitek Horak,Piotr Galus,1756446300,1.9,1.9
2025-08-29,14516769,"UTR PTT Olomouc Men 06, Group B",UTR Men,Hard,Dominik Recek,Patrik Homola,1756461600,1.9,1.9
2025-08-29,14516766,"UTR PTT Olomouc Men 06, Group C",UTR Men,Hard,Stepan Baum,David Schwarc,1756372800,1.9,1.9
2025-08-29,14553099,"UTR PTT Olomouc Men 06, Group C",UTR Men,Hard,Leo Pade,David Schwarc,1756444500,1.9,1.9
2025-08-29,14516750,"UTR PTT Olomouc Men 06, Group C",UTR Men,Hard,Stepan Baum,David Knesl,1756461600,1.9,1.9
2025-08-29,14516771,"UTR PTT Olomouc Men 06, Group D",UTR Men,Hard,Nikolaj Katic,Gabriel Matuszewski,1756459800,1.9,1.9
2025-08-29,14516777,"UTR PTT Olomouc Men 06, Group D",UTR Men,Hard,Sebastian Prechtel,Egor Matvievici,1756463400,1.9,1.9
2025-08-29,14558653,"UTR PTT San Diego Men 02, Group A",UTR Men,Hard,Colson Wells,Santiago Giamichelle,1756492200,1.9,1.9
2025-08-29,14558654,"UTR PTT San Diego Men 02, Group A",UTR Men,Hard,Miles Jones,Felipe Pinzon Moreno,1756481400,1.9,1.9
2025-08-29,14558667,"UTR PTT San Diego Men 02, Group B",UTR Men,Hard,Calvin Baierl,Tanapatt Nirundorn,1756498500,1.9,1.9
2025-08-29,14558664,"UTR PTT San Diego Men 02, Group B",UTR Men,Hard,Aleksa Ciric,Azariah Rusher,1756506600,1.9,1.9
2025-08-29,14558651,"UTR PTT San Diego Men 02, Group C",UTR Men,Hard,JanMagnus Johnson,Elias Shokry,1756484100,1.9,1.9
2025-08-29,14558652,"UTR PTT San Diego Men 02, Group C",UTR Men,Hard,Landon Ardila,Carter Pate,1756490400,1.9,1.9
